date,state,district,pincode,age_0_5,age_5_17,age_17_plus
2025-03-02,Meghalaya,East Khasi Hills,793121.0,11.0,61.0,37.0
2025-03-09,Karnataka,Bengaluru Urban,560043.0,14.0,33.0,39.0
2025-03-09,Uttar Pradesh,Kanpur Nagar,208001.0,29.0,82.0,12.0
2025-03-09,Uttar Pradesh,Aligarh,202133.0,62.0,29.0,15.0
2025-03-09,Karnataka,Bengaluru Urban,560016.0,14.0,16.0,21.0
2025-03-09,Bihar,Sitamarhi,843331.0,20.0,49.0,12.0
2025-03-09,Bihar,Sitamarhi,843330.0,23.0,24.0,42.0
2025-03-09,Uttar Pradesh,Bahraich,271865.0,26.0,60.0,14.0
2025-03-09,Uttar Pradesh,Firozabad,283204.0,28.0,26.0,10.0
2025-03-09,Bihar,Purbi Champaran,845418.0,30.0,48.0,10.0
2025-03-09,Uttar Pradesh,Maharajganj,273164.0,31.0,70.0,13.0
2025-03-09,Bihar,Sitamarhi,843317.0,35.0,94.0,16.0
2025-03-09,Maharashtra,Chhatrapati Sambhajinagar,431001.0,42.0,46.0,12.0
2025-03-09,Bihar,Sitamarhi,843324.0,49.0,186.0,34.0
2025-03-09,Uttar Pradesh,Ghaziabad,201102.0,50.0,113.0,11.0
2025-03-09,Haryana,Faridabad,121004.0,80.0,60.0,10.0
2025-03-09,Karnataka,Bengaluru Urban,560068.0,14.0,17.0,35.0
2025-03-09,Bihar,Madhubani,847108.0,18.0,120.0,22.0
2025-03-09,Karnataka,Bengaluru Urban,560032.0,21.0,14.0,10.0
2025-03-09,Rajasthan,Sikar,332001.0,41.0,36.0,17.0
2025-03-09,Bihar,Bhagalpur,812005.0,13.0,40.0,18.0
2025-03-09,Punjab,Amritsar,143001.0,14.0,15.0,20.0
2025-03-09,Haryana,Gurugram,122001.0,18.0,19.0,13.0
2025-03-09,Uttar Pradesh,Gautam Buddha Nagar,201301.0,25.0,249.0,16.0
2025-03-09,Delhi,West Delhi,110018.0,29.0,11.0,15.0
2025-03-09,Madhya Pradesh,Bhind,477116.0,37.0,18.0,11.0
2025-03-09,Madhya Pradesh,Gwalior,475110.0,42.0,14.0,14.0
2025-03-09,Madhya Pradesh,Katni,483501.0,53.0,42.0,11.0
2025-03-09,Delhi,West Delhi,110059.0,93.0,42.0,42.0
2025-03-09,Bihar,Purbi Champaran,845304.0,18.0,72.0,12.0
2025-03-09,West Bengal,Cooch Behar,736135.0,19.0,12.0,19.0
2025-03-09,Uttar Pradesh,Lucknow,226003.0,23.0,102.0,17.0
2025-03-09,West Bengal,Uttar Dinajpur,733129.0,26.0,18.0,27.0
2025-03-15,Assam,Marigaon,782104.0,10.0,11.0,46.0
2025-03-15,Assam,Kokrajhar,783350.0,10.0,16.0,18.0
2025-03-15,Uttar Pradesh,Agra,282005.0,10.0,66.0,17.0
2025-03-15,Uttarakhand,Haridwar,247667.0,17.0,15.0,28.0
2025-03-15,Uttar Pradesh,Ghaziabad,201001.0,33.0,125.0,16.0
2025-03-15,Uttar Pradesh,Ghaziabad,201206.0,14.0,30.0,13.0
2025-03-15,Assam,Nagaon,782124.0,19.0,15.0,22.0
2025-03-15,Delhi,West Delhi,110059.0,24.0,34.0,18.0
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201301.0,43.0,132.0,24.0
2025-03-15,Uttar Pradesh,Maharajganj,273164.0,12.0,55.0,12.0
2025-03-15,Maharashtra,Parbhani,431401.0,17.0,14.0,37.0
2025-03-15,Uttar Pradesh,Ghaziabad,201102.0,19.0,146.0,30.0
2025-03-15,Assam,Marigaon,782105.0,26.0,16.0,140.0
2025-03-15,Meghalaya,West Khasi Hills,793119.0,34.0,10.0,148.0
2025-03-15,Bihar,Purbi Champaran,845303.0,12.0,121.0,13.0
2025-03-15,Assam,Marigaon,782127.0,12.0,16.0,20.0
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201009.0,20.0,37.0,18.0
