ds,yhat,yhat_lower,yhat_upper,district,risk_level
2026-01-01,98.89911904415052,48.567377199754304,146.4248395786281,Adilabad,Normal
2026-01-02,119.6870885907405,72.05194077941604,167.83022882571933,Adilabad,Normal
2026-01-03,143.05532462741888,93.67129068465678,196.21781307138625,Adilabad,Normal
2026-01-04,145.6485649250427,94.24811186649889,193.36287777243447,Adilabad,Normal
2026-01-05,208.56260636483663,157.3539938159934,258.7741134414824,Adilabad,Normal
2026-01-06,244.3160742627919,196.67047801886824,291.71157688727266,Adilabad,Normal
2026-01-07,300.5697604011674,252.19797451687032,349.98366098617475,Adilabad,Normal
2026-01-08,353.70499892759426,304.7181180570429,402.7327832378198,Adilabad,Normal
2026-01-09,409.15695079267437,361.8300935426017,460.28199040424516,Adilabad,Normal
2026-01-10,467.03927351318214,418.08448649527634,514.7246700062677,Adilabad,Normal
2026-01-11,503.3191467657331,456.90759425714384,551.5721963380993,Adilabad,Normal
2026-01-12,598.3779705529744,546.3312517210849,646.6078044061192,Adilabad,Normal
2026-01-13,663.9969001614444,611.6110621084272,711.2856616225994,Adilabad,Normal
2026-01-14,747.0912261354919,696.9852278355064,799.0015475418569,Adilabad,Normal
2026-01-15,823.3047551083124,771.5770006057389,868.6190153170579,Adilabad,Normal
2026-01-16,897.3597135314494,847.4071006215161,947.1694898271963,Adilabad,Normal
2026-01-17,968.6982750590802,921.4710607617817,1016.9202879787853,Adilabad,Normal
2026-01-18,1012.6742874916067,961.873774019129,1065.6083148253038,Adilabad,Normal
2026-01-19,1109.130112351606,1059.6309936457096,1157.955341998141,Adilabad,Normal
2026-01-20,1169.3973385224324,1118.8581337164144,1221.2806126294158,Adilabad,Normal
2026-01-21,1240.0449864116028,1189.778221786562,1293.0625939192576,Adilabad,Normal
2026-01-22,1296.4859878182695,1249.2456618490328,1346.3520301738845,Adilabad,Normal
2026-01-23,1343.3371237269453,1294.6678093426408,1394.1543470878626,Adilabad,Normal
2026-01-24,1380.0682209563188,1328.2489682768912,1431.3641735878425,Adilabad,Normal
2026-01-25,1382.1989320569976,1335.694305310554,1430.0413734403687,Adilabad,Normal
2026-01-26,1429.87781557574,1380.6298508397188,1483.6331228505626,Adilabad,Normal
2026-01-27,1434.882343716524,1385.3721893402135,1485.6424608781078,Adilabad,Normal
2026-01-28,1444.3633855624066,1389.0251329280609,1498.785947703655,Adilabad,Normal
2026-01-29,1434.4449518139836,1381.8212368822788,1485.268978482219,Adilabad,Normal
2026-01-30,1410.5744544339457,1359.2148718026885,1462.8539499603773,Adilabad,Normal
2026-01-01,96.43402051186578,54.041807379228125,140.18885850495425,Agar_Malwa,Normal
2026-01-02,133.52851467937825,89.88162300623146,176.39801465316197,Agar_Malwa,Normal
2026-01-03,180.72416630044114,136.65498082108522,228.72441875917636,Agar_Malwa,Normal
2026-01-04,223.4549258383534,178.86271144170726,263.5004286519835,Agar_Malwa,Normal
2026-01-05,294.1032944522524,250.53132983397657,338.32733351249635,Agar_Malwa,Normal
2026-01-06,357.5516210375757,314.89978346620455,401.5447673940839,Agar_Malwa,Normal
2026-01-07,450.02908235452264,406.96213279355226,494.6000044009657,Agar_Malwa,Normal
2026-01-08,543.5736833384822,498.4010871404783,586.5603417883318,Agar_Malwa,Normal
2026-01-09,653.6028467798694,611.8014587655024,697.3719645326454,Agar_Malwa,Normal
2026-01-10,775.358999340134,727.1435069155956,821.9558041143031,Agar_Malwa,Normal
2026-01-11,893.0384443507356,852.160784608426,936.6833518301405,Agar_Malwa,Normal
2026-01-12,1037.6650676801873,993.6532230715382,1080.424625900917,Agar_Malwa,Normal
2026-01-13,1172.6621300210595,1127.4905163819828,1217.0639361693313,Agar_Malwa,Normal
